MP,DESC,L1,L2,H,AREA,VOL,#PER_LC,#LC,TOT_MP,TOT_VOL,T.C.,LC_CONSUMPTION,VOL_DEPLETING,CAST,INT
2785.003.002I0,SCATOLA CC25 GREZZO,1200,800,1224,0.96,1.17504,18,16,288,18.80064,0.106609808,5.302061123,3.545911592,1,0
M934152050040I0,REAR AXLE HOUSING RAW,1200,800,360,0.96,0.3456,1,282,282,97.4592,0.011337868,10.14965986,9.602213405,1,0
755.01.061.61I/,SCATOLA CENTRALE GREZZO,1200,800,800,0.96,0.768,12,24,282,18.432,0.026553372,1.980881572,9.304947989,1,0
M416150150110I0,PLANETARY CARRIER - RAW,1235,840,930,1.0374,0.964782,50,6,267,5.788692,0.082101806,1.469950739,3.938017681,1,0
2817.003.002I1,SCATOLA CONNESSIONE GREZZO,1200,800,700,0.96,0.672,6,32,192,21.504,0.075987842,11.33738602,1.896733512,1,0
113.01.001.61I/,FUSIONE SCATOLA CENTRALE,1200,800,800,0.96,0.768,30,6,160,4.608,0.01984127,0.592063492,7.782949062,1,0
2817.010.002I0,SCATOLA USCITA GREZZO,1200,800,600,0.96,0.576,6,24,144,13.824,0.119047619,17.76190476,0.778294906,1,0
M902103050020I0,GEARBOX-HOUSING RAW,1200,800,1040,0.96,0.9984,2,64,127,63.8976,0.044642857,19.98214286,3.197735121,1,0
M501150040243I0,PLANETARY CARRIER 501150040243 RAW,1235,840,930,1.0374,0.964782,36,4,120,3.859128,0.142857143,3.552380952,1.086349705,1,0
2718.463.002I/,PORTAPLANETARI GREZZO,1200,800,800,0.96,0.768,24,5,120,3.84,0.056022409,2.089635854,1.837640751,1,0
4220940RI/,CASE TRANS.GREZZO PSR09 SAE3,1200,800,645,0.96,0.6192,4,25,100,15.48,0.007936508,1.776190476,8.715281501,1,0
2398.201.002I/,SCATOLA USCITA GREZZO,1200,800,900,0.96,0.864,18,6,96,5.184,0.049568752,2.465219259,2.10285555,1,0
T221TM0140240I0,PLANETARY CARRIER L RAW,1200,815,870,0.978,0.85086,30,4,96,3.40344,0.057142857,1.705142857,1.995985255,1,0
T221TM0140341I0,PLANETARY CARRIER U RAW,1235,840,930,1.0374,0.964782,90,1,90,0.964782,0.07518797,0.747869674,1.290040275,1,1
T221TM0140140I0,PLANETARY CARRIER RAW,1235,840,930,1.0374,0.964782,24,4,88,3.859128,0.057142857,2.131428571,1.810582842,1,0
2398.200.002I/,MOZZO GREZZO,1200,800,700,0.96,0.672,18,5,73,3.36,0.053561864,2.663810034,1.261351206,1,0
193.01.004.61I/,GREZZO SCATOLA CENTRALE,1200,800,700,0.96,0.672,8,9,70,6.048,0.014727541,1.648011782,3.669876676,1,0
0.040.0178.5I/,SCATOLA SNODO SX GREZZO,1200,800,800,0.96,0.768,16,3,40,2.304,0.017857143,0.999107143,2.306058981,1,0
114.06.005.02I0,PORTASATELLITI,1200,800,1000,0.96,0.96,12,3,34,2.88,0.067888663,5.064494229,0.568664879,1,0
740.01.045.61I/,SCATOLA CENTRALE GREZZO,1200,800,425,0.96,0.408,4,7,27,2.856,0.028571429,6.394285714,0.446648794,1,0
M416150050060I0,REAR AXLE COVER STUB RAW,1200,800,360,0.96,0.3456,60,1,24,0.3456,0.014577259,0.217492711,1.589018767,1,0
193.01.005.61I/,GREZZO SCATOLA CENTRALE,1200,800,1000,0.96,0.96,15,2,24,1.92,0.018315018,1.093040293,1.756568365,1,0
755.01.065.61I/,SCATOLA CENTRALE GREZZO,1200,800,750,0.96,0.72,12,1,11,0.72,0.036101083,2.693140794,0.267345845,1,0
